id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
5ZJGv7aGdIr9IGpxzSG18T,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024,180.86952,-5.525,137.959,4.0,11.0,0.737,0.774,0.428,True
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,18,2024,265.49332,-5.52,97.994,4.0,8.0,0.712,0.603,0.67,False
5q0EXnBYyeCdXD72FzJxH0,Illusion,Dua Lipa,18,2024,188.14345,-4.701,126.962,4.0,8.0,0.679,0.772,0.709,False
72kGuWpRiuA149Bn5lDkIO,We Ride,Bryan Martin,18,2024,188.48268,-4.176,81.989,4.0,3.0,0.62,0.706,0.591,True
7hRLuo4QnzCsjICXUOhTE6,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024,161.05261,-3.846,151.951,4.0,5.0,0.738,0.71,0.722,True
0PHrcmOtDE89ew4vVEaD7S,Bandit,Don Toliver,18,2024,147.70667,-4.534,130.109,4.0,2.0,0.68,0.794,0.111,True
3SaS0Va6o6jYkWvadT86C6,I Am Not Okay,Jelly Roll,18,2024,198.06667,-5.272,153.742,4.0,7.0,0.536,0.651,0.363,False
1a73gcEg6h6Re6hHXoVltJ,FTCU,Nicki Minaj,18,2024,172.13791,-6.694,144.978,4.0,11.0,0.93,0.435,0.227,True
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,Karol G,17,2024,195.82413,-6.83,128.038,4.0,11.0,0.924,0.668,0.787,False
2hKYtHbwYOSjvYQhVdUpdQ,TGIF,GloRilla,17,2024,164.57143,-6.381,140.067,4.0,8.0,0.891,0.526,0.203,True
7FKAVg9SA7QYLxdVRLnKjd,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024,184.17332,-3.801,78.194,4.0,7.0,0.558,0.731,0.664,False
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,17,2024,231.75002,-8.603,99.968,4.0,5.0,0.868,0.538,0.732,True
7iabz12vAuVQYyekFIWJxD,BAND4BAND,Central Cee & Lil Baby,17,2024,140.73334,-5.241,140.113,4.0,11.0,0.882,0.764,0.886,True
2hrycoFU1mZw6YPvMcn8yC,Kehlani,Jordan Adetunji,17,2024,122.36086,-3.769,160.017,4.0,10.0,0.645,0.634,0.352,False
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,17,2024,200.25551,-3.495,117.187,4.0,3.0,0.673,0.722,0.519,False
1TgStpMGTflN84asKJ8VU3,U My Everything,Sexyy Red & Drake,17,2024,225.13293,-5.413,145.212,4.0,6.0,0.624,0.796,0.704,True
0y5Ex8oQ8zCH5TQxHUy1Eo,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024,224.28,-5.851,128.942,4.0,11.0,0.663,0.675,0.455,False
0eBFgRxyVSeuT4iyrbukdn,Where The Wild Things Are,Luke Combs,17,2024,239.53333,-4.872,116.975,4.0,3.0,0.708,0.731,0.379,False
