index,rank,title,artist,count,year,id,duration,loudness,tempo,time_signature,key
120,20,Thank God,Kane Brown With Katelyn Brown,30,2023,1brnLTvarI9D1hLP6z2Ar8,174.56,-8.735,99.945,4.0,3.0
121,21,Sure Thing,Miguel,29,2023,0JXXNGljqupsJaZsgSbMZV,195.37334,-8.127,81.001,4.0,11.0
122,22,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023,73RbfOTJIjHzi2pcVHjeHM,189.825,-5.851,171.925,4.0,1.0
123,23,Favorite Song,Toosii,27,2023,5Bvhk3wx42kkDEggSQIwqL,204.0,-9.34,116.029,4.0,2.0
124,24,Truck Bed,HARDY,27,2023,6CThut6kPrjot0pTJOTEer,167.53477,-4.88,132.058,4.0,0.0
125,25,One Thing At A Time,Morgan Wallen,27,2023,1rXq0uoV4KTgRN64jXzIxo,206.86453,-5.187,141.982,4.0,7.0
126,26,Under The Influence,Chris Brown,26,2023,5IgjP7X4th6nMNDh4akUHb,184.61333,-8.947,116.931,4.0,9.0
127,27,Players,Coi Leray,26,2023,6UN73IYd0hZxLi8wFPMQij,139.56,-5.74,105.004,4.0,6.0
128,28,Dance The Night,Dua Lipa,26,2023,1vYXt7VSjH9JIM5oRRo7vA,176.57932,-4.93,110.056,4.0,11.0
129,29,Fukumean,Gunna,26,2023,4rXLjWdF2ZZpXCVTfWcshS,125.04,-6.747,130.001,4.0,1.0
130,30,Rock And A Hard Place,Bailey Zimmerman,26,2023,1TE8AAk9koG0UJco6ZAUfx,207.54095,-7.3,121.991,3.0,1.0
131,31,Religiously,Bailey Zimmerman,25,2023,0bILU0UiNDmA5Ff6whhb2R,178.7234,-6.519,140.924,4.0,1.0
132,32,Cupid,Fifty Fifty,25,2023,4gXHG9domIKO6FIViDISA4,174.11624,-5.72,120.001,4.0,11.0
133,33,Save Me,Jelly Roll With Lainey Wilson,25,2023,30LZU3ReFIndjHLfaahreM,237.49333,-5.018,83.03,3.0,0.0
134,34,Tennessee Orange,Megan Moroney,25,2023,6DLbBlGIOjjEj0dNN25zhZ,223.11974,-6.637,156.031,3.0,9.0
135,35,Karma,Taylor Swift,24,2023,7KokYm8cMIXCsGVmUvKtqf,204.8523,-7.108,90.008,4.0,8.0
136,36,All My Life,Lil Durk Featuring J. Cole,24,2023,6HgWWaMu31KdOpEG5l28BG,223.8785,-5.881,142.974,4.0,3.0
137,37,Vampire,Olivia Rodrigo,23,2023,1kuGVB7EU95pJObxwvfwKS,219.72408,-5.821,136.848,4.0,5.0
138,38,Dancin' In The Country,Tyler Hubbard,23,2023,2KtGiBi5CrX2ERPD2PAS34,179.64,-4.614,114.974,4.0,7.0
139,39,What Was I Made For?,Billie Eilish,23,2023,6wf7Yu7cxBSPrRlWeSeK0Q,222.36957,-17.843,79.449,4.0,0.0
140,40,Dial Drunk,Noah Kahan,23,2023,22VHOlVYBqytsrAqV8yXBK,213.81728,-7.193,112.108,4.0,8.0
141,41,La Bebe,Yng Lvcas x Peso Pluma,23,2023,2UW7JaomAMuX9pZrjVpHAU,234.35297,-5.678,169.922,4.0,2.0
142,42,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023,3dnP0JxCgygwQH9Gm7q7nb,165.67116,-5.176,147.989,3.0,5.0
143,43,As It Was,Harry Styles,23,2023,4Dvkj6JhhA12EX05fT7y2e,167.30318,-5.338,173.93,4.0,6.0
144,44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023,6AQbmUe0Qwf5PZnt4HmTXv,131.01334,-8.254,132.962,4.0,5.0
145,45,Just Wanna Rock,Lil Uzi Vert,22,2023,4Ls53fBNVfaXTROBi6X8Hw,123.89057,-7.924,150.185,4.0,11.0
146,46,White Horse,Chris Stapleton,22,2023,1DgtQlVNotingln271ZKCx,267.89334,-11.066,145.225,4.0,1.0
147,47,Unholy,Sam Smith & Kim Petras,22,2023,3nqQXoyQOWXiESFLlDF1hG,156.943,-7.384,131.007,4.0,2.0
148,48,Spin Bout U,Drake & 21 Savage,22,2023,2ZL7WZcjuYKi1KUDtp4kCC,214.58853,-6.383,129.971,4.0,7.0
149,49,Rich Flex,Drake & 21 Savage,21,2023,1bDbXMyjaUIooNwFE9wn0N,239.35977,-9.39,160.07,4.0,4.0
150,50,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023,0vjeOZ3Ft5jvAi9SBFJm1j,182.66667,-5.298,116.624,4.0,5.0
151,51,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023,741UUVE2kuITl0c6zuqqbO,109.75016,-8.393,144.072,4.0,0.0
152,52,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023,5HR7yfhSCeoOHRQN05XnZQ,169.41896,-4.309,162.542,4.0,10.0
153,53,LaLa,Myke Towers,20,2023,7ABLbnD53cQK00mhcaOUVG,197.92,-4.045,91.986,4.0,1.0
154,54,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023,7mXuWTczZNxG5EDcjFEuJR,212.87805,-7.118,140.098,3.0,5.0
155,55,Fight The Feeling,Rod Wave,20,2023,4aA7Lrm6rLGHx5kRMVb7NU,160.7143,-9.213,168.029,5.0,0.0
156,56,I Know ?,Travis Scott,20,2023,6wsqVwoiVH2kde4k4KKAFU,211.58244,-4.441,117.995,4.0,5.0
157,57,Lavender Haze,Taylor Swift,20,2023,5jQI2r1RdgtuT8S3iG8zFC,202.39578,-10.56,97.05,4.0,7.0
158,58,Escapism,RAYE Featuring 070 Shake,20,2023,5mHdCZtVyb4DcJw8799hZp,272.37332,-5.355,96.107,4.0,2.0
159,59,Memory Lane,Old Dominion,20,2023,1nrgBXtczBXNSlqIezjwbR,172.48,-5.136,118.968,4.0,6.0
160,60,Eyes Closed,Ed Sheeran,20,2023,3p7XQpdt8Dr6oMXSvRZ9bg,194.84875,-6.221,107.071,4.0,2.0
161,61,Search & Rescue,Drake,20,2023,7aRCf5cLOFN1U7kvtChY1G,272.1126,-8.562,140.009,4.0,10.0
162,62,ICU,Coco Jones,20,2023,3tpI98Yae25hSvhh6mitA9,241.62418,-6.765,124.669,3.0,8.0
