rank,title,artist,count,year,id
27,Sunroof,Nicky Youre & dazy,27,2022,5YqEzk3C5c3UZ1D5fJUlXA
28,Flower Shops,ERNEST Featuring Morgan Wallen,26,2022,1DbZAffh8GGwW41Q3AU8iC
29,Me Porto Bonito,Bad Bunny & Chencho Corleone,26,2022,6Sq7ltF9Qa7SNFBsV5Cogx
30,'Til You Can't,Cody Johnson,26,2022,4k3lPl8YTKuY8c1HelVnm3
31,Vegas,Doja Cat,26,2022,0hquQWY3xvYqN4qtiquniF
32,Son Of A Sinner,Jelly Roll,25,2022,6ngGiVX91DRmGDH4G5EgeO
33,Circles Around This Town,Maren Morris,25,2022,13G5xv1wUKvJYbK0wYmioN
34,Until I Found You,Stephen Sanchez,25,2022,6VhuP99TE6gYNQRJIlAWFD
35,Bad Habit,Steve Lacy,25,2022,4k6Uh1HXdhtusDW5y8Gbvy
36,I Ain't Worried,OneRepublic,25,2022,0oF9jpn0n8afMpbHKgRd6J
37,Get Into It (Yuh),Doja Cat,24,2022,0W6I02J9xcqK8MtSeosEXb
38,Late Night Talking,Harry Styles,24,2022,1qEmFfgcLObUfQm0j1W2CK
39,AA,Walker Hayes,24,2022,6aIrXGmaFqPafbYgxbMUsj
40,Boyfriend,Dove Cameron,24,2022,59CfNbkERJ3NoTXDvoURjj
41,Jimmy Cooks,Drake Featuring 21 Savage,24,2022,3F5CgOj3wFlRv51JsHbxhe
42,The Kind Of Love We Make,Luke Combs,23,2022,48UKTR66uUOT9LaUvooTNx
43,Moscow Mule,Bad Bunny,23,2022,6Xom58OOXk2SoU711L2IXO
44,5 Foot 9,Tyler Hubbard,22,2022,0U4iRayct65wsaBMQGiLbg
45,Efecto,Bad Bunny,22,2022,5Eax0qFko2dh7Rl2lYs3bx
46,Free Mind,Tems,21,2022,2mzM4Y0Rnx2BDZqRnhQ5Q6
47,Provenza,Karol G,21,2022,3HqcNJdZ2seoGxhn0wVNDK
48,Party,Bad Bunny & Rauw Alejandro,21,2022,4tYFy8ALRjIZvnvSLw5lxN
49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,21,2022,3JXF3LsUjyDIHjuwhXxdjo
50,Easy On Me,Adele,21,2022,46IZ0fSY2mpAiktS3KOqds
51,Doin' This,Luke Combs,21,2022,6TpyujRefwsflWFXbmjVpj
52,Die For You,The Weeknd,21,2022,2LBqCSwhJGcFQeTHMVGwy3
53,One Right Now,Post Malone & The Weeknd,21,2022,00Blm7zeNqgYLPtW6zg8cj
54,Need To Know,Doja Cat,21,2022,3Vi5XqYrmQgOYBajMWSvCi
55,Industry Baby,Lil Nas X & Jack Harlow,21,2022,27NovPIUIRrOZoCHxABJwK
56,abcdefu,GAYLE,21,2022,4fouWK6XVHhzl78KzQ1UjL
57,Glimpse Of Us,Joji,20,2022,6xGruZOHLs39ZbVccQTuPZ
58,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",20,2022,52xJxFP6TqMuO4Yt0eOkMz
59,Hrs And Hrs,Muni Long,20,2022,3ncmoWTwJgx63LwMTyBCXf
60,Hotel Lobby (Unc And Phew),Quavo & Takeoff,20,2022,4vVjPTApwXZwB2H3mBq3ml
61,Bones,Imagine Dragons,20,2022,54ipXppHLA8U4yqpOFTUhr
62,Bam Bam,Camila Cabello Featuring Ed Sheeran,20,2022,2DB4DdfCFMw1iaR6JaR03a
63,To The Moon!,JNR CHOI & Sam Tompkins,20,2022,5vUnjhBzRJJIAOJPde6zDx
64,Like I Love Country Music,Kane Brown,20,2022,5C9jQ8ikTOieveuORd8wlf
65,All Mine,Brent Faiyaz,20,2022,3XgGQ1wjo5khvq2UImjyNF
66,23,Sam Hunt,20,2022,4PuAqZlL1tkidkuxfDlLbF
67,MAMIII,Becky G X Karol G,20,2022,7FlQk2gJ6TBrHHiidvdR2O
68,What Happened To Virgil,Lil Durk Featuring Gunna,20,2022,7ohROa13QK43JBRqfCmz4P
69,Broadway Girls,Lil Durk Featuring Morgan Wallen,20,2022,7qTaDOcld0VmBWXnkbUj45
70,Thought You Should Know,Morgan Wallen,20,2022,3Qu3Zh4WTKhP9GEXo0aDnb
71,She's All I Wanna Be,Tate McRae,20,2022,7l9IqDtVWJurTvkQHq1BGh
72,Wishful Drinking,Ingrid Andress With Sam Hunt,20,2022,3HGnIIdHYIbkowzLk8UHbE
73,F.N.F. (Let's Go),Hitkidd & Glorilla,20,2022,5nEUEJWFtBFdjVGeFyIOL0
74,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,20,2022,5mt882Eqx22RwFOTE01jS8
75,Tarot,Bad Bunny & Jhay Cortez,20,2022,41oY4WCTj5kccfesTVFnvN
76,Good 4 U,Olivia Rodrigo,20,2022,4ZtFanR9U6ndgddUvNcjcG
77,Running Up That Hill (A Deal With God),Kate Bush,20,2022,1PtQJZVZIdWIYdARpZRDFO
78,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,20,2022,7yRJMLG9ja0fBVVEmV6vcT
79,Trouble With A Heartbreak,Jason Aldean,20,2022,0P9c1rdCeGAkCeS425KbI5
80,If I Was A Cowboy,Miranda Lambert,20,2022,6F7UOC6fPWOkPqybOWBHSv
81,Beers On Me,"Dierks Bentley, Breland & HARDY",20,2022,19ZzEzb4BVK1wVO4brrmZz
82,Despues de La Playa,Bad Bunny,20,2022,1dm6z1fWB0cErMszU25dy2
83,Pushin P,Gunna & Future Featuring Young Thug,20,2022,3XOalgusokruzA5ZBA2Qcb
84,Never Say Never,Cole Swindell / Lainey Wilson,20,2022,3iYEsBl8NBq1o1j5uY2Noe
85,Ojitos Lindos,Bad Bunny & Bomba Estereo,20,2022,3k3NWokhRRkEPhCzPmV8TW
86,Damn Strait,Scotty McCreery,20,2022,0gNrujgnSfw4LuSvd0Jbs6
87,Ghost Story,Carrie Underwood,20,2022,2FGOg7uYBfnspkPOISXTFY
88,Unstoppable,Sia,20,2022,1yvMUkIOTeUNtNWlWRgANS
89,Last Night Lonely,Jon Pardi,20,2022,0k11c8vwyeNSGQex6UMa1v
90,Take My Name,Parmalee,20,2022,7g0Zfd5J6Hzx9M2fRUMuba
91,Sand In My Boots,Morgan Wallen,19,2022,0uRrG2jRR5tuifsYIJHEao
92,Puffin On Zootiez,Future,19,2022,1qMMYpVatbRITKCfq1gasi
93,Cuff It,Beyonce,19,2022,1xzi1Jcr7mEi9K2RfzLOqS
94,Last Last,Burna Boy,19,2022,57DarSfRMIVRCeDBGW0l5S
95,I Hate U,SZA,19,2022,2aJnyNu4PQxQ2lyj5boiMG
