,Unnamed: 0,title,artist,count,year
298,98,Me Or Sum,"Nardo Wick, Lil Baby & Future",19,2022
299,99,Surface Pressure,Jessica Darrow,19,2022
300,0,Save Your Tears,The Weeknd,50,2021
301,1,Levitating,Dua Lipa Featuring DaBaby,49,2021
302,2,Heat Waves,Glass Animals,48,2021
303,3,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),38,2021
304,4,Forever After All,Luke Combs,37,2021
305,5,Kiss Me More,Doja Cat Featuring SZA,36,2021
306,6,Without You,The Kid LAROI,36,2021
307,7,Blinding Lights,The Weeknd,35,2021
308,8,Montero (Call Me By Your Name),Lil Nas X,34,2021
309,9,My Ex's Best Friend,Machine Gun Kelly X blackbear,34,2021
310,10,Mood,24kGoldn Featuring iann dior,33,2021
311,11,Good 4 U,Olivia Rodrigo,31,2021
312,12,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,30,2021
313,13,Best Friend,Saweetie Featuring Doja Cat,30,2021
314,14,One Too Many,Keith Urban Duet With P!nk,30,2021
315,15,Deja Vu,Olivia Rodrigo,29,2021
316,16,Glad You Exist,Dan + Shay,29,2021
317,17,Heartbreak Anniversary,Giveon,29,2021
318,18,Chasing After You,Ryan Hurd With Maren Morris,29,2021
319,19,Wockesha,Moneybagg Yo,28,2021
320,20,Drivers License,Olivia Rodrigo,28,2021
321,21,Astronaut In The Ocean,Masked Wolf,28,2021
322,22,Need To Know,Doja Cat,27,2021
323,23,What You Know Bout Love,Pop Smoke,27,2021
324,24,Fancy Like,Walker Hayes,26,2021
325,25,You Right,Doja Cat & The Weeknd,25,2021
326,26,Traitor,Olivia Rodrigo,25,2021
327,27,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,25,2021
328,28,Telepatia,Kali Uchis,25,2021
329,29,Bad Habits,Ed Sheeran,25,2021
330,30,Essence,Wizkid Featuring Tems,24,2021
331,31,Beggin',Maneskin,24,2021
332,32,Arcade,Duncan Laurence,24,2021
333,33,You Should Probably Leave,Chris Stapleton,24,2021
