rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
72,Tell Me,Bobby Valentino,https://charts-static.billboard.com/img/2005/06/bobby-v-cpj-53x53.jpg,81,72,3,up,2005-07-30,
73,Energy,Natalie Featuring Baby Bash,https://charts-static.billboard.com/img/2005/05/natalie-76m-53x53.jpg,68,66,7,down,2005-07-30,
74,Alcohol,Brad Paisley,https://charts-static.billboard.com/img/2005/05/brad-paisley-ws4-53x53.jpg,78,74,5,up,2005-07-30,
75,Gotta Getcha,Jermaine Dupri,https://charts-static.billboard.com/img/2005/05/jermaine-dupri-kdh-53x53.jpg,83,75,3,up,2005-07-30,
76,And Then What,Young Jeezy Featuring Mannie Fresh,https://charts-static.billboard.com/img/2005/05/jeezy-g79-53x53.jpg,91,76,2,up,2005-07-30,
77,The Hand That Feeds,Nine Inch Nails,https://charts-static.billboard.com/img/2005/04/nine-inch-nails-mec-53x53.jpg,70,31,17,down,2005-07-30,
78,Goodbye Time,Blake Shelton,https://charts-static.billboard.com/img/2005/01/blake-shelton-22w-53x53.jpg,73,73,8,down,2005-07-30,
79,Keg In The Closet,Kenny Chesney,https://charts-static.billboard.com/img/2005/05/kenny-chesney-en6-53x53.jpg,67,64,9,down,2005-07-30,
80,Helena (So Long & Goodnight),My Chemical Romance,https://charts-static.billboard.com/img/2005/03/my-chemical-romance-1es-53x53.jpg,87,80,4,up,2005-07-30,
81,Do You Want Fries With That,Tim McGraw,https://charts-static.billboard.com/img/2005/05/tim-mcgraw-j7r-53x53.jpg,88,81,3,up,2005-07-30,
82,ASAP,T.I.,https://charts-static.billboard.com/img/2005/02/ti-e27-53x53.jpg,75,75,7,down,2005-07-30,
83,Just The Girl,The Click Five,https://charts-static.billboard.com/img/2005/07/the-click-five-gdg-53x53.jpg,,,,new,2005-07-30,
84,Notice Me,NB Ridaz Featuring Angelina,https://charts-static.billboard.com/img/2005/03/nb-ridaz-yim-53x53.jpg,94,84,2,up,2005-07-30,
85,Right Here,Staind,https://charts-static.billboard.com/img/2005/05/staind-cef-53x53.jpg,86,77,6,up,2005-07-30,
86,Go!,Common,https://charts-static.billboard.com/img/2005/05/common-gcq-53x53.jpg,79,79,4,down,2005-07-30,
87,Help Somebody,Van Zant,https://charts-static.billboard.com/img/2005/03/van-zant-pzv-53x53.jpg,92,87,3,up,2005-07-30,
88,Be My Escape,Relient K,https://charts-static.billboard.com/img/2005/06/relient-k-jz8-53x53.jpg,,,,new,2005-07-30,
89,I Can't Stop Loving You,Kem,https://charts-static.billboard.com/img/2005/01/kem-67u-53x53.jpg,89,87,10,same,2005-07-30,
90,Girl,Destiny's Child,https://charts-static.billboard.com/img/2005/03/destinys-child-31s-53x53.jpg,80,23,18,down,2005-07-30,
91,Lot Of Leavin' Left To Do,Dierks Bentley,https://charts-static.billboard.com/img/2005/01/dierks-bentley-yjg-53x53.jpg,77,47,18,down,2005-07-30,
92,Gold Digger,Kanye West Featuring Jamie Foxx,https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg,,,,new,2005-07-30,
93,My Sister,Reba McEntire,https://charts-static.billboard.com/img/2005/03/reba-mcentire-ivy-53x53.jpg,98,93,4,up,2005-07-30,
94,Touch,Omarion,https:https://charts-static.billboard.com/img/2005/05/omarion-3ri-53x53.jpg,-,94,3,re-entry,2005-07-30,
95,Like You,Daddy Yankee,https://charts-static.billboard.com/img/2005/05/daddy-yankee-1tx-53x53.jpg,93,78,7,down,2005-07-30,
96,Welcome To Jamrock,"Damian ""Jr. Gong"" Marley",Not supported yet,,,,new,2005-07-30,
97,Home,Michael Buble,Not supported yet,-,97,5,re-entry,2005-07-30,
98,Ass Like That,Eminem,https://charts-static.billboard.com/img/2004/12/eminem-1xq-53x53.jpg,82,60,7,down,2005-07-30,
99,Somebody's Hero,Jamie O'Neal,https://charts-static.billboard.com/img/2005/04/jamie-oneal-2l4-53x53.jpg,,,,new,2005-07-30,
100,Remedy,Seether,https://charts-static.billboard.com/img/2005/04/seether-tje-53x53.jpg,,,,new,2005-07-30,
1,We Belong Together,Mariah Carey,https://charts-static.billboard.com/img/2005/03/mariah-carey-tgq-53x53.jpg,1,1,17,same,2005-08-06,9
2,Pon de Replay,Rihanna,https://charts-static.billboard.com/img/2005/06/rihanna-v3t-53x53.jpg,2,2,9,same,2005-08-06,
3,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,https://charts-static.billboard.com/img/2005/04/the-pussycat-dolls-t1l-53x53.jpg,4,3,14,up,2005-08-06,
4,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,https://charts-static.billboard.com/img/2005/05/missy-elliott-zjj-53x53.jpg,6,4,12,up,2005-08-06,
5,Let Me Hold You,Bow Wow Featuring Omarion,https://charts-static.billboard.com/img/2005/05/bow-wow-ywr-53x53.jpg,8,5,11,up,2005-08-06,
6,Hollaback Girl,Gwen Stefani,https://charts-static.billboard.com/img/2005/03/gwen-stefani-72d-53x53.jpg,3,1,19,down,2005-08-06,
7,Behind These Hazel Eyes,Kelly Clarkson,https://charts-static.billboard.com/img/2005/04/kelly-clarkson-091-53x53.jpg,7,6,16,same,2005-08-06,
8,Don't Phunk With My Heart,The Black Eyed Peas,https://charts-static.billboard.com/img/2005/04/the-black-eyed-peas-b9u-53x53.jpg,5,3,16,down,2005-08-06,
9,Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,https://charts-static.billboard.com/img/2005/05/ludacris-5cn-53x53.jpg,12,9,9,up,2005-08-06,
10,Get It Poppin',Fat Joe Featuring Nelly,https://charts-static.billboard.com/img/2005/05/fat-joe-02a-53x53.jpg,9,9,10,down,2005-08-06,
11,Grind With Me,Pretty Ricky,https://charts-static.billboard.com/img/2005/03/pretty-ricky-ail-53x53.jpg,11,7,17,same,2005-08-06,
12,Listen To Your Heart,D.H.T.,https://charts-static.billboard.com/img/2004/12/dht-ww4-53x53.jpg,14,12,10,up,2005-08-06,
13,You And Me,Lifehouse,https://charts-static.billboard.com/img/2005/02/lifehouse-ekp-53x53.jpg,13,13,25,same,2005-08-06,
14,Just A Lil Bit,50 Cent,https://charts-static.billboard.com/img/2005/03/50-cent-9ay-53x53.jpg,10,3,20,down,2005-08-06,
15,Scars,Papa Roach,https://charts-static.billboard.com/img/2004/11/papa-roach-oga-53x53.jpg,18,15,26,up,2005-08-06,
16,Feel Good Inc,Gorillaz,https://charts-static.billboard.com/img/2005/04/gorillaz-n6n-53x53.jpg,25,16,11,up,2005-08-06,
17,Oh,Ciara Featuring Ludacris,https://charts-static.billboard.com/img/2004/10/ciara-b1v-53x53.jpg,15,2,20,down,2005-08-06,
18,Switch,Will Smith,https://charts-static.billboard.com/img/2005/03/will-smith-wy2-53x53.jpg,16,7,23,down,2005-08-06,
19,Cater 2 U,Destiny's Child,https://charts-static.billboard.com/img/2005/02/destinys-child-31s-53x53.jpg,22,19,15,up,2005-08-06,
20,Best Of You,Foo Fighters,https://charts-static.billboard.com/img/2005/05/foo-fighters-vm6-53x53.jpg,19,18,13,down,2005-08-06,
21,Beverly Hills,Weezer,https://charts-static.billboard.com/img/2005/04/weezer-715-53x53.jpg,23,13,17,up,2005-08-06,
22,Back Then,Mike Jones,https://charts-static.billboard.com/img/2005/04/mike-jones-9d3-53x53.jpg,28,22,10,up,2005-08-06,
23,Speed Of Sound,Coldplay,https://charts-static.billboard.com/img/2005/05/coldplay-j2u-53x53.jpg,21,8,14,down,2005-08-06,
24,These Boots Are Made For Walkin',Jessica Simpson,https://charts-static.billboard.com/img/2005/07/jessica-simpson-sz9-53x53.jpg,20,14,4,down,2005-08-06,
25,Holiday,Green Day,https://charts-static.billboard.com/img/2005/01/green-day-qwn-53x53.jpg,27,19,18,up,2005-08-06,
26,Inside Your Heaven,Carrie Underwood,https://charts-static.billboard.com/img/2005/06/carrie-underwood-ko6-53x53.jpg,17,1,6,down,2005-08-06,
27,Lonely No More,Rob Thomas,https://charts-static.billboard.com/img/2005/02/rob-thomas-qfd-53x53.jpg,24,6,25,down,2005-08-06,
28,As Good As I Once Was,Toby Keith,https://charts-static.billboard.com/img/2017/07/toby-keith-53x53.jpg,30,28,10,up,2005-08-06,
29,Give Me That,Webbie Featuring Bun B,https://charts-static.billboard.com/img/2005/01/webbie-s51-53x53.jpg,33,29,14,up,2005-08-06,
30,These Words,Natasha Bedingfield,https://charts-static.billboard.com/img/2005/06/natasha-bedingfield-z7w-53x53.jpg,48,30,6,up,2005-08-06,
31,"Sugar, We're Goin' Down",Fall Out Boy,https://charts-static.billboard.com/img/2005/06/fall-out-boy-zhw-53x53.jpg,55,31,6,up,2005-08-06,
32,Since U Been Gone,Kelly Clarkson,https://charts-static.billboard.com/img/2004/11/kelly-clarkson-091-53x53.jpg,29,2,34,down,2005-08-06,
33,Mr. Brightside,The Killers,https://charts-static.billboard.com/img/2004/08/the-killers-1wx-53x53.jpg,32,10,26,down,2005-08-06,
34,Let Me Go,3 Doors Down,https://charts-static.billboard.com/img/2004/12/3-doors-down-qu6-53x53.jpg,31,14,27,down,2005-08-06,
35,Cool,Gwen Stefani,https://charts-static.billboard.com/img/2005/06/gwen-stefani-72d-53x53.jpg,50,35,4,up,2005-08-06,
36,Summer Nights,Lil Rob,Not supported yet,46,36,7,up,2005-08-06,
37,Mississippi Girl,Faith Hill,https://charts-static.billboard.com/img/2005/05/faith-hill-go6-53x53.jpg,43,37,9,up,2005-08-06,
38,Baby I'm Back,Baby Bash Featuring Akon,https://charts-static.billboard.com/img/2005/01/baby-bash-kcz-53x53.jpg,38,19,24,same,2005-08-06,
39,How To Deal,Frankie J,https://charts-static.billboard.com/img/2005/04/frankie-j-x6g-53x53.jpg,39,39,11,same,2005-08-06,
40,Collide,Howie Day,https://charts-static.billboard.com/img/2004/07/howie-day-s3n-53x53.jpg,34,20,26,down,2005-08-06,
41,Something More,Sugarland,https://charts-static.billboard.com/img/2005/04/sugarland-661-53x53.jpg,44,41,12,up,2005-08-06,
42,Chariot,Gavin DeGraw,https://charts-static.billboard.com/img/2005/03/gavin-degraw-n1q-53x53.jpg,35,30,17,down,2005-08-06,
43,Diamonds From Sierra Leone,Kanye West,https://charts-static.billboard.com/img/2005/05/kanye-west-irm-53x53.jpg,69,43,12,up,2005-08-06,
44,Dreams,The Game,https://charts-static.billboard.com/img/2005/01/the-game-r55-53x53.jpg,36,32,10,down,2005-08-06,
45,Make Her Feel Good,Teairra Mari,Not supported yet,49,45,10,up,2005-08-06,
46,Fast Cars And Freedom,Rascal Flatts,https://charts-static.billboard.com/img/2005/03/rascal-flatts-o8u-53x53.jpg,42,38,14,down,2005-08-06,
47,Incomplete,Backstreet Boys,https://charts-static.billboard.com/img/2005/04/backstreet-boys-fo7-53x53.jpg,40,13,16,down,2005-08-06,
48,So Seductive,Tony Yayo Featuring 50 Cent,https://charts-static.billboard.com/img/2005/04/tony-yayo-fei-53x53.jpg,52,48,7,up,2005-08-06,
49,Free Yourself,Fantasia,https://charts-static.billboard.com/img/2005/01/fantasia-hr6-53x53.jpg,41,41,15,down,2005-08-06,
