rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
30,Dreamlover,Mariah Carey,https://charts-static.billboard.com/img/1993/08/mariah-carey-tgq-53x53.jpg,,30,1,23,same,1994-01-08
31,Time And Chance,Color Me Badd,https://charts-static.billboard.com/img/1993/10/color-me-badd-cop-53x53.jpg,,33,23,11,up,1994-01-08
32,Let It Snow,Boyz II Men,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-iur-53x53.jpg,,43,32,5,up,1994-01-08
33,"Never Should've Let You Go (From ""Sister Act 2"")",Hi-Five,https://charts-static.billboard.com/img/1993/10/hi-five-i9q-53x53.jpg,,31,30,13,down,1994-01-08
34,Cryin',Aerosmith,https://charts-static.billboard.com/img/1993/06/aerosmith-fsf-53x53.jpg,,34,12,24,same,1994-01-08
35,Jessie,Joshua Kadison,https://charts-static.billboard.com/img/1993/05/joshua-kadison-csj-53x53.jpg,,35,33,14,same,1994-01-08
36,Amazing,Aerosmith,https://charts-static.billboard.com/img/1993/10/aerosmith-fsf-53x53.jpg,,36,36,6,same,1994-01-08
37,(I Know I Got) Skillz,Shaquille O'Neal,https://charts-static.billboard.com/img/1993/10/shaquille-oneal-de1-53x53.jpg,,37,35,12,same,1994-01-08
38,Hey Mr. D.J.,Zhane,Not supported yet,,25,6,20,down,1994-01-08
39,All About Soul,Billy Joel,https://charts-static.billboard.com/img/1993/11/billy-joel-9l9-53x53.jpg,,32,29,10,down,1994-01-08
40,Anniversary,Tony Toni Tone,Not supported yet,,38,10,16,down,1994-01-08
41,Sweat (A La La La La Long),Inner Circle,https://charts-static.billboard.com/img/1993/07/inner-circle-971-53x53.jpg,,41,16,23,same,1994-01-08
42,Real Muthaphuckkin G's,Eazy-E,https://charts-static.billboard.com/img/1993/11/gangsta-dresta-000-53x53.jpg,,42,42,9,same,1994-01-08
